state_name,state_sub
Alabama,Alabama
Alaska,alaska
Arizona,arizona
Arkansas,Arkansas
California,California
Colorado,Colorado
Connecticut,Connecticut
Delaware,Delaware
Washington DC,washingtondc
Florida,florida
Georgia,Georgia
Hawaii,Hawaii
Idaho,Idaho
Illinois,illinois
Indiana,Indiana
Iowa,Iowa
Kansas,kansas
Kentucky,Kentucky
Louisiana,Louisiana
Maine,Maine
Maryland,maryland
Massachusetts,massachusetts
Michigan,Michigan
Minnesota,minnesota
Mississippi,mississippi
Missouri,missouri
Montana,Montana
Nebraska,Nebraska
Nevada,Nevada
New Hampshire,newhampshire
New Jersey,newjersey
New Mexico,NewMexico
New York,newyork
North Carolina,NorthCarolina
North Dakota,northdakota
Ohio,Ohio
Oklahoma,oklahoma
Oregon,oregon
Pennsylvania,Pennsylvania
Rhode Island,RhodeIsland
South Carolina,southcarolina
South Dakota,SouthDakota
Tennessee,Tennessee
Texas,texas
Utah,Utah
Vermont,vermont
Virginia,Virginia
Washington,Washington
West Virginia,WestVirginia
Wisconsin,wisconsin
Wyoming,wyoming
